Id2,RACE - Total population,RACE - Total population - Two or more races,RACE - One race,RACE - One race - White,RACE - One race - Black or African American,RACE - One race - American Indian and Alaska Native,RACE - One race - Asian,RACE - One race - Native Hawaiian and Other Pacific Islander,RACE - One race - Some other race,Total population - Hispanic or Latino
15003,11440,441,10999,9482,1376,30,57,0,54,186
15005,9692,117,9575,9218,89,0,268,0,0,82
15006,330,10,320,320,0,0,0,0,0,0
15007,252,0,252,252,0,0,0,0,0,0
15012,15957,196,15761,15092,321,0,319,17,12,308
15014,3155,45,3110,2927,169,0,14,0,0,37
15015,1230,3,1227,1203,3,0,21,0,0,26
15017,16495,190,16305,15533,232,15,518,0,7,134
15018,813,0,813,764,21,0,0,0,28,0
15020,267,0,267,267,0,0,0,0,0,0
15024,8628,189,8439,8195,56,3,177,0,8,75
15025,16379,193,16186,12992,2991,0,195,0,8,84
15026,3452,49,3403,3401,2,0,0,0,0,5
15028,166,1,165,165,0,0,0,0,0,14
15030,1024,15,1009,981,28,0,0,0,0,8
15031,588,29,559,520,39,0,0,0,0,0
15034,1741,21,1720,1660,53,7,0,0,0,0
15035,2111,143,1968,1813,106,0,27,0,22,19
15037,10929,96,10833,10667,93,11,27,7,28,72
15044,28016,299,27717,26750,207,8,664,15,73,435
15045,4444,79,4365,4265,58,10,18,14,0,33
15046,2607,64,2543,2458,74,0,10,0,1,15
15047,82,6,76,76,0,0,0,0,0,0
15049,859,7,852,852,0,0,0,0,0,0
15051,375,0,375,353,22,0,0,0,0,0
15056,1214,93,1121,1055,51,0,15,0,0,155
15063,11178,92,11086,10674,260,0,100,0,52,338
15065,11674,255,11419,11062,190,14,100,6,47,66
15068,38224,764,37460,33739,3143,117,369,0,92,434
15071,10583,106,10477,10162,53,1,241,0,20,79
15075,228,0,228,228,0,0,0,0,0,0
15076,884,13,871,871,0,0,0,0,0,0
15082,149,0,149,149,0,0,0,0,0,0
15083,850,0,850,850,0,0,0,0,0,1
15084,9798,258,9540,9092,429,1,18,0,0,119
