GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC02_VC03,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over
HC03_VC03,Percent; EMPLOYMENT STATUS - Population 16 years and over
HC04_VC03,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over
HC01_VC04,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC02_VC04,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC03_VC04,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC04_VC04,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC01_VC05,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC02_VC05,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC03_VC05,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC04_VC05,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC01_VC06,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC02_VC06,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC03_VC06,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC04_VC06,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC07,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC02_VC07,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC03_VC07,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC04_VC07,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC01_VC08,Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC02_VC08,Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC03_VC08,Percent; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC04_VC08,Percent Margin of Error; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
